topic_id,prompt_tokens,completion_tokens,total_tokens,model_calls,created_at
29384,36999,4099,41098,4,2026-05-07T14:17:50.835918
29363,13765,3188,16953,3,2026-05-07T14:26:31.695060
29497,34331,288,34619,4,2026-05-07T15:27:12.961308
29510,38555,3455,42010,5,2026-05-07T17:38:25.255106
29511,33476,4627,38103,5,2026-05-07T17:49:42.438670
29511,24809,5048,29857,5,2026-05-07T17:49:52.277088
29512,32052,4546,36598,5,2026-05-07T17:58:55.084011
29513,21064,5068,26132,5,2026-05-07T18:10:26.022019
29513,28980,5266,34246,5,2026-05-07T18:23:55.701626
29520,34880,5702,40582,5,2026-05-08T15:19:30.277379
29521,36152,4504,40656,5,2026-05-08T15:35:48.730401
29521,41992,4796,46788,5,2026-05-08T15:45:55.377623
29522,5443,583,6026,6,2026-05-08T18:01:49.320890
29523,30196,1119,31315,6,2026-05-08T18:12:51.345901
